nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
262,19867,1,11254,142901,"RING",3,15436,27369,"1",
263,19900,1,11254,142901,"RING",3,15436,27369,"1",
264,19933,1,11254,142901,"RING",3,15436,27369,"1",
265,19966,1,11254,142901,"RING",3,15436,27369,"1",
266,19999,1,11254,142901,"RING",3,15436,27369,"1",
267,20032,1,11254,142901,"RING",3,15436,27369,"1",
268,20065,1,11254,142901,"RING",3,15436,27369,"1",
269,20098,1,11254,142901,"RING",3,15436,27369,"1",
270,20131,1,11254,142901,"RING",3,15436,27369,"1",
271,20164,1,11254,142901,"RING",3,15436,27369,"1",
272,20197,1,11254,142901,"RING",3,15436,27369,"1",
273,20230,1,11254,142901,"RING",3,15436,27369,"1",
274,20263,1,11254,142901,"RING",3,15436,27369,"1",
275,20296,1,11254,142901,"RING",3,15436,27369,"1",
276,20329,1,11254,142901,"RING",3,15436,27369,"1",
277,20362,1,11254,142901,"RING",3,15436,27369,"1",
278,20395,1,11254,142901,"RING",3,15436,27369,"1",
279,20428,1,11254,142901,"RING",3,15436,27369,"1",
280,20461,1,11254,142901,"RING",3,15436,27369,"1",
281,20494,1,11254,142901,"RING",3,15436,27369,"1",
282,20527,1,11254,142901,"RING",3,15436,27369,"1",
283,20560,1,11254,142901,"RING",3,15436,27369,"1",
284,20593,1,11254,142901,"RING",3,15436,27369,"1",
285,20626,1,11254,142901,"RING",3,15436,27369,"1",
286,20659,1,11254,142901,"RING",3,15436,27369,"1",
287,20692,1,11254,142901,"RING",3,15436,27369,"1",
288,20725,1,11254,142901,"RING",3,15436,27369,"1",
289,20758,1,11254,142901,"RING",3,15436,27369,"1",
290,20791,1,11254,142901,"RING",3,15436,27369,"1",
291,20824,1,11254,142901,"RING",3,15436,27369,"1",
292,20857,1,11254,142901,"RING",3,15436,27369,"1",
293,20890,1,11254,142901,"RING",3,15436,27369,"1",
