nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
269,370883,1,360431,485603,"RING STACKER",7,370394,374862,"1",
270,370922,1,360431,485603,"RING STACKER",7,370394,374862,"1",
271,370961,1,360431,485603,"RING STACKER",7,370394,374862,"1",
272,371000,1,360431,485603,"RING STACKER",7,370394,374862,"1",
273,371039,1,360431,485603,"RING STACKER",7,370394,374862,"1",
274,371078,1,360431,485603,"RING STACKER",7,370394,374862,"1",
275,371117,1,360431,485603,"RING STACKER",7,370394,374862,"1",
276,371156,1,360431,485603,"RING STACKER",7,370394,374862,"1",
277,371195,1,360431,485603,"RING STACKER",7,370394,374862,"1",
278,371234,1,360431,485603,"RING STACKER",7,370394,374862,"1",
279,371273,1,360431,485603,"RING STACKER",7,370394,374862,"1",
280,371312,1,360431,485603,"RING STACKER",7,370394,374862,"1",
281,371351,1,360431,485603,"RING STACKER",7,370394,374862,"1",
282,371390,1,360431,485603,"RING STACKER",7,370394,374862,"1",
283,371429,1,360431,485603,"RING STACKER",7,370394,374862,"1",
284,371468,1,360431,485603,"RING STACKER",7,370394,374862,"1",
285,371507,1,360431,485603,"RING STACKER",7,370394,374862,"1",
286,371546,1,360431,485603,"RING STACKER",7,370394,374862,"1",
287,371585,1,360431,485603,"RING STACKER",7,370394,374862,"1",
288,371624,1,360431,485603,"RING STACKER",7,370394,374862,"1",
289,371663,1,360431,485603,"RING STACKER",7,370394,374862,"1",
290,371702,1,360431,485603,"RING STACKER",7,370394,374862,"1",
291,371741,1,360431,485603,"RING STACKER",7,370394,374862,"1",
292,371780,1,360431,485603,"RING STACKER",7,370394,374862,"1",
293,371819,1,360431,485603,"RING STACKER",7,370394,374862,"1",
294,371858,1,360431,485603,"RING STACKER",7,370394,374862,"1",
295,371897,1,360431,485603,"RING STACKER",7,370394,374862,"1",
296,371936,1,360431,485603,"RING STACKER",7,370394,374862,"1",
297,371975,1,360431,485603,"RING STACKER",7,370394,374862,"1",
298,372014,1,360431,485603,"RING STACKER",7,370394,374862,"1",
299,372053,1,360431,485603,"RING STACKER",7,370394,374862,"1",
300,372092,1,360431,485603,"RING STACKER",7,370394,374862,"1",
301,372131,1,360431,485603,"RING STACKER",7,370394,374862,"1",
302,372170,1,360431,485603,"RING STACKER",7,370394,374862,"1",
303,372209,1,360431,485603,"RING STACKER",7,370394,374862,"1",
304,372248,1,360431,485603,"RING STACKER",7,370394,374862,"1",
305,372287,1,360431,485603,"RING STACKER",7,370394,374862,"1",
306,372326,1,360431,485603,"RING STACKER",7,370394,374862,"1",
307,372365,1,360431,485603,"RING STACKER",7,370394,374862,"1",
308,372404,1,360431,485603,"RING STACKER",7,370394,374862,"1",
309,372443,1,360431,485603,"RING STACKER",7,370394,374862,"1",
310,372482,1,360431,485603,"RING STACKER",7,370394,374862,"1",
